# Convention: CF-1.6
# featureType: timeSeries
# history: Created Wed Mar 27 20:39:32 2019
# processing_notes: This file was produced Wed Mar 27 20:36:25 2019 by Kevin Sampson (NCAR) and has the following attributes: 
#    This file uses the NHDPlus v21 "flattened" geodatabase: NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb.
#    Topology fixes using: Topology_Fixer.csv.
#    NHDFlowlines removed using: Remove_COMIDs_NHDFLowline_Network.csv.
#    Gage preference list: numberOf100QualityObs.2017-03-15.csv.
#    Gage subset list: numberOf100QualityObs.2017-03-15.csv.
#    Gage additions made using: Add_Gage_Association.csv.
#    Gage-to-flowline association changes made using: Bad_Gage_Associations.csv.
#    Tidal-influenced gages removed using: TidalGageList_20170316.csv.
#    Waterbody associations using spatial join with Lake feature class Input_Reservoirs.shp.
# version: NWM v2.1
# Extracted from NetCDF on 2021-05-03 15:46:23.642612+00:00
# Some column names were changed when extracting from the original NetCDF format.
# link -> nwm_feature_id
# gages -> usgs_site_code
# lat -> latitude
# lon -> longitude
# 
feature_id,nwm_feature_id,from,to,longitude,latitude,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,usgs_site_code,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
11322,800029667,0,800033944,-66.04629,18.29372,45.82,4,0.0,3600.0,0.2,598.0,0.055,0.00278,0.50396615,4.024677,-9999,2000-01-01,50058350,0,10203,0.11,20.123383,6.707794
11342,800031422,0,800033557,-66.307755,18.159952,552.22,4,0.0,3600.0,0.2,236.9,0.055,0.03304,0.49407518,4.2096233,-9999,2000-01-01,50043197,0,4230,0.11,21.048117,7.016039
11361,800033509,0,800031368,-66.343834,18.35668,55.95,4,0.0,3600.0,0.2,2807.4,0.055,0.00929,0.45015106,5.1987076,-9999,2000-01-01,50038320,0,8321,0.11,25.993538,8.664513
11391,800036382,0,800029936,-65.86838,18.17083,87.52,3,0.0,3600.0,0.2,1361.0,0.055,0.02096,0.5124014,3.876062,-9999,2000-01-01,50081000,0,4246,0.11,19.38031,6.460103
11457,800024762,0,800029050,-66.45675,18.124529,171.12,3,0.0,3600.0,0.2,212.7,0.055,0.01298,0.457631,5.008094,-9999,2000-01-01,50110900,0,11793,0.11,25.04047,8.346824
11485,800030035,0,800030062,-65.78479,18.227371,19.8,3,0.0,3600.0,0.2,1661.0,0.055,0.00597,0.46789756,4.762471,-9999,2000-01-01,50076000,0,10211,0.11,23.812355,7.937452
11505,800031925,0,800029777,-65.95551,18.153467,158.15,3,0.0,3600.0,0.2,1045.0,0.055,0.00843,0.48135787,4.4659424,-9999,2000-01-01,50051310,0,9190,0.11,22.329712,7.443237
11524,800034266,0,800038572,-65.84337,18.343008,56.95,2,0.0,3600.0,0.2,1051.0,0.06,0.0217,0.5062097,3.9843593,-9999,2000-01-01,50064200,0,4294,0.12,19.921797,6.640599
11549,800037483,0,800039636,-66.605865,18.11518,222.8,4,0.0,3600.0,0.2,638.0,0.055,0.02246,0.47091842,4.6935043,-9999,2000-01-01,50113800,0,4302,0.11,23.467522,7.8225074
11563,800039343,0,800024276,-66.887856,18.040176,69.12,3,0.0,3600.0,0.2,530.6,0.055,0.03491,0.49453157,4.200823,-9999,2000-01-01,50128905,0,13045,0.11,21.004112,7.001371
