# Convention: CF-1.6
# featureType: timeSeries
# processing_notes: This file was produced Fri Jan 12 11:41:28 2018 by Kevin Sampson (NCAR) and has the following attributes: 
#    This file uses the NHDPlus v21 "flattened" HI geodatabase v03: NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb.
#    This file includes only reaches in Hawaii (VPUID 20).
#    Topology fixes using: Topology_Fixer.csv.
#    NHDFlowlines removed using: Remove_COMIDs_NHDFLowline_Network.csv.
#    Using alternate NHD gage list: C:\Data\DL\Delete\NHDPlusNationalData\NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb\NHDEvents\Gage. 
#    Gage preference list: numberOf100QualityObs.2017-03-15.csv.
#    Gage additions made using: Add_Gage_Association.csv.
#    Gage-to-flowline association changes made using: Bad_Gage_Associations.csv.
#    Tidal-influenced gages removed using: TidalGageList_20170316.csv.
#    Waterbody associations performed using spatial join with NHDWaterbodies feature class.   Waterbody feature class used: HI_NHDWaterbodies_Selected_plus_final.shp
# history: Thu Sep 19 11:01:14 2019: ncatted -O -a region,global,c,c,Hawaii Route_Link_Hawaii_NWM_v2_1_alpha.nc
# Thu Sep 19 11:00:56 2019: ncatted -O -a version,global,c,c,NWM v2.1 alpha Route_Link_Hawaii_NWM_v2_1_alpha.nc
# Created Fri Jan 12 11:41:44 2018
# NCO: netCDF Operators version 4.7.9 (Homepage = http://nco.sf.net, Code = http://github.com/nco/nco)
# region: Hawaii
# version: NWM v2.1
# Extracted from NetCDF on 2021-05-03 15:46:23.642612+00:00
# Some column names were changed when extracting from the original NetCDF format.
# link -> nwm_feature_id
# gages -> usgs_site_code
# lat -> latitude
# lon -> longitude
# 
feature_id,nwm_feature_id,from,to,longitude,latitude,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,usgs_site_code,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
8083,800008624,0,800013056,-156.05276,20.669231,144.5,2,0.0,3600.0,0.2,267.0,0.035,0.052,0.4953002,4.1860604,-9999,2000-01-01,16501200,0,4825,0.12,20.930304,6.9767675
8228,800014526,0,800010120,-157.83687,21.298677,11.31,2,0.0,3600.0,0.2,594.0,0.035,0.014,0.5986582,2.724176,-9999,2000-01-01,16238000,0,4855,0.12,13.62088,4.540293
8229,800014566,0,800005689,-157.76343,21.359512,37.7,3,0.0,3600.0,0.2,415.0,0.035,0.033,0.61994326,2.5167668,-9999,2000-01-01,16254000,0,2252,0.11,12.583835,4.1946115
8269,800016340,0,800002878,-159.41858,22.177813,132.31,3,0.0,3600.0,0.2,1726.0,0.035,0.014,0.6501474,2.2595086,-9999,2000-01-01,16097500,0,2269,0.11,11.297543,3.7658477
8399,800004522,0,800010127,-157.80946,21.309118,81.01,3,0.0,3600.0,0.2,4936.0,0.035,0.015,0.53095675,3.5758014,-9999,2000-01-01,16241600,0,2305,0.11,17.879007,5.959669
8445,800007563,0,800003052,-158.1793,21.50241,325.45,3,0.0,3600.0,0.2,622.0,0.035,0.068,0.5998633,2.7117867,-9999,2000-01-01,16211600,0,11380,0.11,13.558934,4.5196447
8453,800007876,0,800003407,-157.84941,21.454685,50.59,2,0.0,3600.0,0.2,2308.0,0.035,0.02,0.6327843,2.4024875,-9999,2000-01-01,16284200,0,11499,0.12,12.012438,4.0041456
8498,800010242,0,0,-157.01233,21.099276,153.36,4,0.0,3600.0,0.2,3480.0,0.035,0.042,0.50205797,4.059433,-9999,2000-01-01,16414200,0,2315,0.11,20.297165,6.7657213
8539,800012766,0,800008353,-156.54907,20.934153,218.17,3,0.0,3600.0,0.2,722.0,0.035,0.049,0.54926264,3.3113565,-9999,2000-01-01,16614000,0,6248,0.11,16.556784,5.5189276
8549,800013069,0,0,-155.94789,19.634123,787.0,2,0.0,3600.0,0.2,5528.0,0.035,0.118,0.460927,4.9272876,-9999,2000-01-01,16759600,0,8142,0.12,24.636436,8.212146
8661,800001052,0,800016702,-157.9104,21.374865,41.08,2,0.0,3600.0,0.2,1318.0,0.035,0.018,0.542397,3.407126,-9999,2000-01-01,16226400,0,2356,0.12,17.035631,5.6785436
8665,800001543,0,0,-156.55185,20.984903,166.33,2,0.0,3600.0,0.2,3335.0,0.035,0.05,0.5518291,3.276552,-9999,2000-01-01,16618000,0,2359,0.12,16.38276,5.46092
8722,800006088,0,800010557,-156.54059,20.882078,262.33,3,0.0,3600.0,0.2,371.0,0.035,0.07,0.5200918,3.7473662,-9999,2000-01-01,16604500,0,2371,0.11,18.736832,6.24561
8992,800005649,0,800012335,-157.81996,21.28536,4.16,3,0.0,3600.0,0.2,1472.0,0.035,0.003,0.47486565,4.6055384,-9999,2000-01-01,16247100,0,4947,0.11,23.02769,7.675897
9061,800011545,0,800007073,-159.57922,22.086256,1182.74,2,0.0,3600.0,0.2,5186.0,0.035,0.026,0.5774612,2.9561226,-9999,2000-01-01,16019000,0,12968,0.12,14.780613,4.926871
9240,800007408,0,800002868,-159.41374,22.068342,153.45,3,0.0,3600.0,0.2,430.0,0.035,0.004,0.5184167,3.7748675,-9999,2000-01-01,16068000,0,2505,0.11,18.874338,6.2914457
9272,800010289,0,0,-156.94778,21.067448,34.47,4,0.0,3600.0,0.2,1066.0,0.035,0.031,0.5319683,3.5604076,-9999,2000-01-01,16415600,0,7134,0.11,17.802038,5.9340124
9423,800005961,0,800014845,-156.76015,21.155273,75.74,3,0.0,3600.0,0.2,852.0,0.035,0.04,0.53647274,3.4930072,-9999,2000-01-01,16400000,0,9641,0.11,17.465034,5.8216786
9561,800003355,0,800001095,-157.89957,21.555752,71.51,4,0.0,3600.0,0.2,173.0,0.035,0.048,0.5856192,2.8636024,-9999,2000-01-01,16301050,0,2618,0.11,14.318011,4.7726707
9656,800014583,0,800016837,-157.73085,21.349463,11.99,2,0.0,3600.0,0.2,548.0,0.035,0.011,0.65962064,2.1866226,-9999,2000-01-01,16249000,0,2666,0.12,10.933113,3.644371
9735,800007879,0,800001124,-157.85683,21.494144,31.03,3,0.0,3600.0,0.2,2500.0,0.035,0.012,0.58591336,2.8603451,-9999,2000-01-01,16294900,0,2692,0.11,14.301725,4.767242
9811,800001111,0,800016765,-157.88272,21.540567,8.4,3,0.0,3600.0,0.2,44.0,0.035,0.032,0.56385803,3.120249,-9999,2000-01-01,16296500,0,6332,0.11,15.601245,5.200415
10076,800005569,0,800003357,-157.91158,21.581991,96.62,2,0.0,3600.0,0.2,1211.0,0.035,0.05,0.67353743,2.085551,-9999,2000-01-01,16304200,0,7764,0.12,10.427755,3.4759183
10078,800005674,0,800010143,-157.79362,21.411087,12.0,3,0.0,3600.0,0.2,1149.0,0.035,0.01,0.5272464,3.633093,-9999,2000-01-01,16274100,0,11101,0.11,18.165466,6.0551553
10088,800007054,0,800002486,-159.61789,22.132687,1046.29,4,0.0,3600.0,0.2,1060.0,0.035,0.008,0.5551373,3.23246,-9999,2000-01-01,16010000,0,10818,0.11,16.1623,5.3874335
10225,800014523,0,0,-157.85019,21.481495,20.0,2,0.0,3600.0,0.2,2257.0,0.035,0.009,0.57562345,2.977558,-9999,2000-01-01,16294100,0,5098,0.12,14.88779,4.9625964
10430,800003241,0,800000983,-157.99274,21.488203,265.98,3,0.0,3600.0,0.2,662.0,0.035,1e-05,0.55215603,3.2721562,-9999,2000-01-01,16208000,0,2860,0.11,16.36078,5.4535937
10859,800007679,0,800009907,-158.05592,21.636326,9.51,4,0.0,3600.0,0.2,329.0,0.035,0.026,0.46797994,4.7605705,-9999,2000-01-01,16330000,0,12960,0.11,23.802855,7.9342847
11158,800003179,0,800007672,-158.05196,21.500418,233.27,4,0.0,3600.0,0.2,260.0,0.035,0.01,0.44487664,5.339464,-9999,2000-01-01,16210200,0,6422,0.11,26.69732,8.899107
11199,800004830,0,800013760,-159.5583,22.136438,300.25,3,0.0,3600.0,0.2,180.0,0.035,0.028,0.48029092,4.4884615,-9999,2000-01-01,16108000,0,5224,0.11,22.442307,7.4807687
11543,800005477,0,800005478,-158.01291,21.385324,5.05,4,0.0,3600.0,0.2,879.0,0.035,0.002,0.38471076,7.4222617,-9999,2000-01-01,16213000,0,7267,0.11,37.11131,12.370436
11621,800000482,0,800016249,-159.4652,22.181477,22.88,4,0.0,3600.0,0.2,607.0,0.035,0.009,0.43984592,5.4788933,-9999,2000-01-01,16103000,0,9662,0.11,27.394466,9.131489
11632,800005442,0,800005444,-158.04488,21.378002,47.11,4,0.0,3600.0,0.2,151.0,0.035,0.023,0.47611436,4.5782046,-9999,2000-01-01,16212490,0,7822,0.11,22.891022,7.6303406
11639,800008995,0,800002173,-155.1517,19.76374,474.04,2,0.0,3600.0,0.2,124.0,0.035,0.066,0.4653717,4.8212633,-9999,2000-01-01,16717000,0,5300,0.12,24.106316,8.035439
12335,800015634,0,800002166,-155.15097,19.712612,329.77,4,0.0,3600.0,0.2,98.0,0.035,0.019,0.30897635,12.199542,-9999,2000-01-01,16704000,0,12465,0.11,60.99771,20.332571
12508,800000661,0,800007473,-159.38504,22.039007,85.17,4,0.0,3600.0,0.2,1796.0,0.035,0.007,0.42634013,5.8802166,-9999,2000-01-01,16060000,0,12466,0.11,29.401083,9.800361
12962,800000146,0,800013609,-159.65523,21.975872,8.35,5,0.0,3600.0,0.2,2331.0,0.035,0.003,0.372146,8.002464,-9999,2000-01-01,16031000,0,5442,0.1,40.01232,13.337441
